"","Transaction","Menu","Class"
"35541",34769,"Unagi & Ab Salmon Oshisushi","Sushi"
"35542",34770,"[KL]Salmon Belly Shioyaki","Kobachi Lunch"
"35543",34771,"Dashimaki Tamago","Appetizer"
"35544",34771,"[KL]Pork Shogayaki Kobachi","Kobachi Lunch"
"35545",34771,"[SL]C. Pork Steak Set","Steak Lunch"
"35546",34771,"Tako Red Ginger Chigiri Age","Appetizer"
"35547",34771,"Chawanmushi","Appetizer"
"35548",34771,"Shiso Juice","Non-Alc"
"35549",34771,"Concord Juice","Non-Alc"
"35550",34774,"Concord Spritzer","Non-Alc"
"35551",34774,"Concord Sake Cooler","Cocktail"
"35552",34774,"[SL]SUN Chirashi","Chirashi Lunch"
"35553",34774,"[SL]Una Don","Donburi Lunch"
"35554",34777,"[SL]Aburi Kaisen KM","KM Lunch"
"35555",34777,"[SL]Premium Seafood KM","KM Lunch"
"35556",34777,"[SL]Niku Atsu Hotate Unagi KM","KM Lunch"
"35557",34777,"Chawanmushi","Appetizer"
"35558",34777,"[4pc]Avo Soft Shell","Sushi Roll"
"35559",34777,"[8pc]Avo Soft Shell","Sushi Roll"
"35560",34778,"[SL]Gindara & Niku Tofu Nabe","Washoku Lunch"
