"535",24947,"[SD]Saba Salmon Teriyaki Set"
"536",24947,"Aburi Sal Hotate Carpaccio"
"537",24947,"Maguro Rare Grill"
"538",24947,"Dessert Trio"
"539",24947,"Oreo Cake"
"540",24948,"SUN Chirashi"
"541",24948,"[DS]Salmon Belly Nabe"
"542",24948,"Unagi Salmon Chirashi"
"543",24948,"Aus Wagyu Harami Don"
"544",24948,"Regional Sake Samp"
"545",24948,"Yuzu Honey Tea"
"546",24949,"Premium Seafood KM"
"547",24949,"[8pc]Sp Aburi Salmon Roll"
"548",24949,"[8pc]Avo Soft Shell"
"549",24949,"Foie Gras Millefeuille"
"550",24949,"Yuzu Honey Tea"
"551",24950,"[SD]Hamachi Kama & Sal Sashimi"
"552",24950,"Aus Wagyu Harami Don"
"553",24950,"Caramel Pear Mousse"
"554",24951,"Unagi Yakiniku KM"
"555",24951,"Salmon Oyako Chirashi"
"556",24951,"Sun Shake Salad"
"557",24952,"[8pc]Paradise Roll"
"558",24952,"Salmon & Tori KM"
"559",24953,"[2p]Sashimi 7K"
"560",24953,"[SD]Aus Sirloin Steak"
"561",24954,"[3p]Sashimi 5K"
"562",24954,"Prem Kaisen Nabe"
"563",24954,"Surume Ika Teriyaki"
"564",24954,"Matcha Parfait"
"565",24954,"Dessert Trio"
"566",24955,"Chef Special Sushi Mori"
"567",24955,"JP Wagyu Steak"
"568",24955,"Hirame Usuzukuri"
"569",24955,"Kaisen Yukke"
"570",24955,"[3pc]Unagi Oshi Sushi"
"571",24955,"[4pc]Sp Aburi Salmon Roll"
"572",24956,"[SD]Gindara Teri & Sal Avo Sld"
"573",24956,"[DS]Beef Nabe"
"574",24956,"Aus Wagyu Kalbi Yaki"
"575",24956,"Pork Shogayaki"
"576",24956,"Mozza Koromo Age"
"577",24956,"SUN Tofu Cheesecake"
"578",24957,"Salmon Belly Nabe"
"579",24957,"Mixed Roll Sushi"
"580",24957,"Sashimi Salad"
"581",24957,"Soft Shell Crab Tempura"
"582",24957,"Nasu Ebi Dengaku"
"583",24957,"Chawanmushi"
"584",24958,"Premium Seafood KM"
"585",24958,"Gindara Teriyaki"
"586",24958,"Toro Salmon Sashimi"
"587",24958,"Foie Gras Millefeuille"
"588",24958,"Aburi Sal Hotate Carpaccio"
"589",24958,"Amaebi Sashimi"
"590",24958,"Edamame"
"591",24959,"Dassai Junmai 45"
"592",24959,"[SD]Aburi Kaisen Chirashi KM"
"593",24959,"Seafood Mix KM"
"594",24959,"Aburi Kaisen Chirashi KM"
"595",24959,"Toro Salmon Sashimi"
"596",24959,"Tofu Parfait"
"597",24960,"[DS]Premium Kaisen Nabe"
"598",24960,"Canadian Tonkatsu"
"599",24961,"[SD]Salmon Sushi Mori Set"
"600",24961,"[SD]Saba Shio & Pork Toji"
"601",24961,"[2p]Sashimi 3K"
"602",24961,"Tempura Udon"
"603",24962,"[SD]Premium Seafood KM"
"604",24962,"[SD]Seafood Mix KM"
"605",24962,"House White - 350ml"
"606",24962,"Dessert Trio"
"607",24963,"[SD]Aus Wagyu Don & Una Yana"
"608",24963,"[DS]Beef Nabe"
"609",24964,"[SD]Temari Sushi & Jp Wagyu"
"610",24964,"[SD]Chicken Pepper & Salmon"
"611",24964,"[4pc]Sp Aburi Salmon Roll"
"612",24965,"San Sui Getsu 240ml"
"613",24965,"[SD]Unagi & Salmon Chirashi"
"614",24965,"[SD]Una Don & Pork Yanagawa"
"615",24965,"[8pc]Crispy Shrimp Mango Roll"
"616",24965,"Aus Wagyu Kalbi Yaki"
"617",24965,"Tempura Soba"
"618",24965,"Matcha Parfait"
"619",24965,"Caramel Pear Mousse"
"620",24965,"Agedashi Tofu"
"621",24966,"[KL]Gindara Teriyaki"
"622",24967,"[SL]Saba & Salmon Teriyaki"
"623",24967,"[SL]Salmon Teri & Chicken"
"624",24967,"[SL]Tendon Set"
"625",24968,"Ebi Tempura"
"626",24968,"Zaru Udon"
"627",24968,"Chawanmushi"
"628",24968,"pc Tobiko Sushi"
"629",24969,"Shokado Bento"
"630",24969,"[4pc]Sp Aburi Salmon Roll"
"631",24970,"[SL]Seafood Mix KM"
